GR;PODGR;RODZ;TYP;OPIS;NR_ODPADU
16;11.0;4.0;B;Okładziny piecowe i materiały ogniotrwałe z procesów metalurgicznych inne niż wymienione w 16 11 03;658
16;11.0;5.0;N;Okładziny piecowe i materiały ogniotrwałe z procesów niemetalurgicznych zawierające substancje niebezpieczne;659
16;11.0;6.0;B;Okładziny piecowe i materiały ogniotrwałe z procesów niemetalurgicznych inne niż wymienione w 16 11 05;660
16;80.0;;B;Odpady różne;661
16;80.0;1.0;B;Magnetyczne i optyczne nośniki informacji;662
16;81.0;;B;Odpady powstałe w wyniku wypadków i zdarzeń losowych;663
16;81.0;1.0;N;Odpady wykazujące właściwości niebezpieczne;664
16;81.0;2.0;B;Odpady inne niż wymienione w 16 81 01;665
16;82.0;;B;Odpady powstałe w wyniku klęsk żywiołowych;666
16;82.0;1.0;N;Odpady wykazujące właściwości niebezpieczne;667
16;82.0;2.0;B;Odpady inne niż wymienione w 16 82 01;668
17;;;B;Odpady z budowy, remontów i demontażu obiektów budowlanych oraz infrastruktury drogowej (włączając glebę i ziemię z terenów zanieczyszczonych);669
17;1.0;;B;Odpady materiałów i elementów budowlanych oraz infrastruktury drogowej (np. beton, cegły, płyty, ceramika);670
17;1.0;1.0;B;Odpady betonu oraz gruz betonowy z rozbiórek i remontów;671
17;1.0;2.0;B;Gruz ceglany;672
17;1.0;3.0;B;Odpady innych materiałów ceramicznych i elementów wyposażenia;673
17;1.0;6.0;N;Zmieszane lub wysegregowane odpady z betonu, gruzu ceglanego, odpadowych materiałów ceramicznych i elementów wyposażenia zawierające substancje niebezpieczne;674
17;1.0;7.0;B;Zmieszane odpady z betonu, gruzu ceglanego, odpadowych materiałów ceramicznych i elementów wyposażenia inne niż wymienione w 17 01 06;675
17;1.0;80.0;B;Usunięte tynki, tapety, okleiny itp.;676
17;1.0;81.0;B;Odpady z remontów i przebudowy dróg;677
17;1.0;82.0;B;Inne nie wymienione odpady;678
17;2.0;;B;Odpady drewna, szkła i tworzyw sztucznych;679
17;2.0;1.0;B;Drewno;680
17;2.0;2.0;B;Szkło;681
17;2.0;3.0;B;Tworzywa sztuczne;682
17;2.0;4.0;N;Odpady drewna, szkła i tworzyw sztucznych zawierające lub zanieczyszczone substancjami niebezpiecznymi (podkłady kolejowe);683
17;3.0;;B;Odpady asfaltów, smół i produktów smołowych;684
17;3.0;1.0;N;Asfalt zawierający smołę;685
17;3.0;2.0;B;Asfalt inny niż wymieniony w 17 03 01;686
17;3.0;3.0;N;Smoła i produkty smołowe;687
17;3.0;80.0;B;Odpadowa papa;688
17;4.0;;B;Odpady i złomy metaliczne oraz stopów metali;689
17;4.0;1.0;B;Miedź, brąz, mosiądz;690
17;4.0;2.0;B;Aluminium;691
17;4.0;3.0;B;Ołów;692
17;4.0;4.0;B;Cynk;693
17;4.0;5.0;B;Żelazo i stal;694
17;4.0;6.0;B;Cyna;695
17;4.0;7.0;B;Mieszaniny metali;696
17;4.0;9.0;N;Odpady metali zanieczyszczone substancjami niebezpiecznymi;697
17;4.0;10.0;N;Kable zawierające ropę naftową, smołę i inne substancje niebezpieczne;698
17;4.0;11.0;B;Kable inne niż wymienione w 17 04 10;699
17;5.0;;B;Gleba i ziemia (włączając glebę i ziemię z terenów zanieczyszczonych oraz urobek z pogłębiania);700
17;5.0;3.0;N;Gleba i ziemia, w tym kamienie, zawierające substancje niebezpieczne (np. PCB);701
17;5.0;4.0;B;Gleba i ziemia, w tym kamienie, inne niż wymienione w 17 05 03;702
17;5.0;5.0;N;Urobek z pogłębiania zawierający lub zanieczyszczony substancjami niebezpiecznymi;703
17;5.0;6.0;B;Urobek z pogłębiania inny niż wymieniony w 17 05 05;704
17;5.0;7.0;N;Tłuczeń torowy (kruszywo) zawierający substancje niebezpieczne;705
17;5.0;8.0;B;Tłuczeń torowy (kruszywo) inny niż wymieniony w 17 05 07;706
17;6.0;;B;Materiały izolacyjne oraz materiały konstrukcyjne zawierające azbest;707
17;6.0;1.0;N;Materiały izolacyjne zawierające azbest;708
17;6.0;3.0;N;Inne materiały izolacyjne zawierające substancje niebezpieczne;709
17;6.0;4.0;B;Materiały izolacyjne inne niż wymienione w 17 06 01 i 17 06 03;710
17;6.0;5.0;N;Materiały konstrukcyjne zawierające azbest;711
17;8.0;;B;Materiały konstrukcyjne zawierające gips;712
17;8.0;1.0;N;Materiały konstrukcyjne zawierające gips zanieczyszczone substancjami niebezpiecznymi;713
17;8.0;2.0;B;Materiały konstrukcyjne zawierające gips inne niż wymienione w 17 08 01;714
17;9.0;;B;Inne odpady z budowy, remontów i demontażu;715
17;9.0;1.0;N;Odpady z budowy, remontów i demontażu zawierające rtęć;716
17;9.0;2.0;N;Odpady z budowy, remontów i demontażu zawierające PCB (np. substancje i przedmioty zawierające PCB: szczeliwa, wykładziny podłogowe zawierające żywice, szczelne zespoły okienne, kondensatory);717
17;9.0;3.0;N;Inne odpady z budowy, remontów i demontażu (w tym odpady zmieszane) zawierające substancje niebezpieczne;718
17;9.0;4.0;B;Zmieszane odpady z budowy, remontów i demontażu inne niż wymienione w 17 09 01, 17 09 02 i 17 09 03;719
18;;;B;Odpady medyczne i weterynaryjne;720
18;1.0;;B;Odpady z diagnozowania, leczenia i profilaktyki medycznej;721
18;1.0;1.0;B;Narzędzia chirurgiczne i zabiegowe oraz ich resztki (z wyłączeniem 18 01 03);722
18;1.0;2.0;N;Części ciała i organy oraz pojemniki na krew i konserwanty służące do jej przechowywania (z wyłączeniem 18 01 03);723
18;1.0;3.0;N;Inne odpady, które zawierają żywe drobnoustroje chorobotwórcze lub ich toksyny oraz inne formy zdolne do przeniesienia materiału genetycznego, o których wiadomo lub co do których istnieją wiarygodne podstawy do sądzenia, że wywołują choroby u ludzi i zwierząt (np. zainfekowane pieluchomajtki, podpaski, podkłady), z wyłączeniem 18 01 80 i 18 01 82;724
18;1.0;4.0;B;Inne odpady niż wymienione w 18 01 03;725
18;1.0;6.0;N;Chemikalia, w tym odczynniki chemiczne, zawierające substancje niebezpieczne;726
18;1.0;7.0;B;Chemikalia, w tym odczynniki chemiczne, inne niż wymienione w 18 01 06;727
18;1.0;8.0;N;Leki cytotoksyczne i cytostatyczne;728
18;1.0;9.0;B;Leki inne niż wymienione w 18 01 08;729
18;1.0;10.0;N;Odpady amalgamatu dentystycznego;730
18;1.0;80.0;N;Zużyte kąpiele lecznicze aktywne biologicznie o właściwościach zakaźnych;731
18;1.0;81.0;B;Zużyte kąpiele lecznicze aktywne biologicznie inne niż wymienione w 18 01 80;732
18;1.0;82.0;N;Pozostałości z żywienia pacjentów oddziałów zakaźnych;733
18;2.0;;B;Odpady z diagnozowania, leczenia i profilaktyki weterynaryjnej;734
18;2.0;1.0;B;Narzędzia chirurgiczne i zabiegowe oraz ich resztki (z wyłączeniem 18 02 02);735
18;2.0;2.0;N;Inne odpady, które zawierają żywe drobnoustroje chorobotwórcze lub ich toksyny oraz inne formy zdolne do przeniesienia materiału genetycznego, o których wiadomo lub co do których istnieją wiarygodne podstawy do sądzenia, że wywołują choroby u ludzi i zwie;736
18;2.0;3.0;B;Inne odpady niż wymienione w 18 02 02;737
18;2.0;5.0;N;Chemikalia, w tym odczynniki chemiczne, zawierające substancje niebezpieczne;738
18;2.0;6.0;B;Chemikalia, w tym odczynniki chemiczne, inne niż wymienione w 18 02 05;739
18;2.0;7.0;N;Leki cytotoksyczne i cytostatyczne;740
18;2.0;8.0;B;Leki inne niż wymienione w 18 02 07;741
19;;;B;Odpady z instalacji i urządzeń służących zagospodarowaniu odpadów, z oczyszczalni ścieków oraz z uzdatniania wody pitnej i wody do celów przemysłowych;742
19;1.0;;B;Odpady z termicznego przekształcania odpadów;743
19;1.0;2.0;B;Złom żelazny usunięty z popiołów paleniskowych;744
19;1.0;5.0;N;Osady filtracyjne (np. placek filtracyjny) z oczyszczania gazów odlotowych;745
19;1.0;6.0;N;Szlamy i inne odpady uwodnione z oczyszczania gazów odlotowych;746
19;1.0;7.0;N;Odpady stałe z oczyszczania gazów odlotowych;747
19;1.0;10.0;N;Zużyty węgiel aktywny z oczyszczania gazów odlotowych;748
19;1.0;11.0;N;Żużle i popioły paleniskowe zawierające substancje niebezpieczne;749
19;1.0;12.0;B;Żużle i popioły paleniskowe inne niż wymienione w 19 01 11;750
19;1.0;13.0;N;Popioły lotne zawierające substancje niebezpieczne;751
19;1.0;14.0;B;Popioły lotne inne niż wymienione w 19 01 13;752
19;1.0;15.0;N;Pyły z kotłów zawierające substancje niebezpieczne;753
19;1.0;16.0;B;Pyły z kotłów inne niż wymienione w 19 01 15;754
19;1.0;17.0;N;Odpady z pirolizy odpadów zawierające substancje niebezpieczne;755
19;1.0;18.0;B;Odpady z pirolizy odpadów inne niż wymienione w 19 01 17;756
19;1.0;19.0;B;Piaski ze złóż fluidalnych;757
19;1.0;99.0;B;Inne nie wymienione odpady;758
19;2.0;;B;Odpady z fizykochemicznej przeróbki odpadów (w tym usuwanie chromu, usuwanie cyjanków, neutralizacja);759
19;2.0;3.0;B;Wstępnie przemieszane odpady składające się wyłącznie z odpadów innych niż niebezpieczne;760
19;2.0;4.0;N;Wstępnie przemieszane odpady składające się z co najmniej z jednego rodzaju odpadów niebezpiecznych;761
19;2.0;5.0;N;Szlamy z fizykochemicznej przeróbki odpadów zawierające substancje niebezpieczne;762
19;2.0;6.0;B;Szlamy z fizykochemicznej przeróbki odpadów inne niż wymienione w 19 02 05;763
19;2.0;7.0;N;Oleje i koncentraty z separacji;764
19;2.0;8.0;N;Ciekłe odpady palne zawierające substancje niebezpieczne;765
19;2.0;9.0;N;Stałe odpady palne zawierające substancje niebezpieczne;766
19;2.0;10.0;B;Odpady palne inne niż wymienione w 19 02 08 lub 19 02 09;767
19;2.0;11.0;N;Inne odpady zawierające substancje niebezpieczne;768
19;2.0;99.0;B;Inne nie wymienione odpady;769
19;3.0;;B;Odpady stabilizowane lub zestalone (3);770
19;3.0;4.0;N;Odpady niebezpieczne częściowo (4) stabilizowane;771
19;3.0;5.0;B;Odpady stabilizowane inne niż wymienione w 19 03 04;772
19;3.0;6.0;N;Odpady niebezpieczne zestalone;773
19;3.0;7.0;B;Odpady zestalone inne niż wymienione w 19 03 06;774
19;4.0;;B;Odpady zeszklone i z procesów zeszkliwiania;775
19;4.0;1.0;B;Zeszklone odpady;776
19;4.0;2.0;N;Popioły lotne i inne odpady z oczyszczania gazów odlotowych;777
19;4.0;3.0;N;Nie zeszklona faza stała;778
19;4.0;4.0;B;Ciekłe odpady z procesów zeszkliwiania;779
19;5.0;;B;Odpady z tlenowego rozkładu odpadów stałych (kompostowania);780
19;5.0;1.0;B;Nie przekompostowane frakcje odpadów komunalnych i podobnych;781
19;5.0;2.0;B;Nie przekompostowane frakcje odpadów pochodzenia zwierzęcego i roślinnego;782
19;5.0;3.0;B;Kompost nie odpowiadający wymaganiom (nie nadający się do wykorzystania);783
19;5.0;99.0;B;Inne nie wymienione odpady;784
19;6.0;;B;Odpady z beztlenowego rozkładu odpadów;785
19;6.0;3.0;B;Ciecze z beztlenowego rozkładu odpadów komunalnych;786
19;6.0;4.0;B;Przefermentowane odpady z beztlenowego rozkładu odpadów komunalnych;787
19;6.0;5.0;B;Ciecze z beztlenowego rozkładu odpadów zwierzęcych i roślinnych;788
19;6.0;6.0;B;Przefermentowane odpady z beztlenowego rozkładu odpadów zwierzęcych i roślinnych;789
19;6.0;99.0;B;Inne nie wymienione odpady;790
19;8.0;;B;Odpady z oczyszczalni ścieków nie ujęte w innych grupach;791
19;8.0;1.0;B;Skratki;792
19;8.0;2.0;B;Zawartość piaskowników;793
19;8.0;5.0;B;Ustabilizowane komunalne osady ściekowe;794
19;8.0;6.0;N;Nasycone lub zużyte żywice jonowymienne;795
19;8.0;7.0;N;Roztwory i szlamy z regeneracji wymienników jonitowych;796
19;8.0;8.0;N;Odpady z systemów membranowych zawierające metale ciężkie;797
19;8.0;9.0;B;Tłuszcze i mieszaniny olejów z separacji olej/woda zawierające wyłącznie oleje jadalne i tłuszcze;798
19;8.0;10.0;N;Tłuszcze i mieszaniny olejów z separacji olej/woda inne niż wymienione w 19 08 09;799
19;8.0;11.0;N;Szlamy zawierające substancje niebezpieczne z biologicznego oczyszczania ścieków przemysłowych;800
19;8.0;12.0;B;Szlamy z biologicznego oczyszczania ścieków przemysłowych inne niż wymienione w 19 08 11;801
19;8.0;13.0;N;Szlamy zawierające substancje niebezpieczne z innego niż biologiczne oczyszczania ścieków przemysłowych;802
19;8.0;14.0;B;Szlamy z innego niż biologiczne oczyszczania ścieków przemysłowych inne niż wymienione w 19 08 13;803
19;8.0;99.0;B;Inne nie wymienione odpady;804
19;9.0;;B;Odpady z uzdatniania wody pitnej i wody do celów przemysłowych;805
19;9.0;1.0;B;Odpady stałe ze wstępnej filtracji i skratki;806
19;9.0;2.0;B;Osady z klarowania wody;807
19;9.0;3.0;B;Osady z dekarbonizacji wody;808
19;9.0;4.0;B;Zużyty węgiel aktywny;809
19;9.0;5.0;B;Nasycone lub zużyte żywice jonowymienne;810
19;9.0;6.0;B;Roztwory i szlamy z regeneracji wymienników jonitowych;811
19;9.0;99.0;B;Inne nie wymienione odpady;812
19;10.0;;B;Odpady z rozdrabniania odpadów zawierających metale;813
19;10.0;1.0;B;Odpady żelaza i stali;814
19;10.0;2.0;B;Odpady metali nieżelaznych;815
19;10.0;3.0;N;Lekka frakcja i pyły zawierające substancje niebezpieczne;816
19;10.0;4.0;B;Lekka frakcja i pyły inne niż wymienione w 19 10 03;817
19;10.0;5.0;N;Inne frakcje zawierające substancje niebezpieczne;818
19;10.0;6.0;B;Inne frakcje niż wymienione w 19 10 05;819
19;11.0;;B;Odpady z regeneracji olejów;820
19;11.0;1.0;N;Zużyte filtry iłowe;821
19;11.0;2.0;N;Kwaśne smoły;822
19;11.0;3.0;N;Uwodnione odpady ciekłe;823
19;11.0;4.0;N;Alkaliczne odpady z oczyszczania paliw;824
19;11.0;5.0;N;Osady z zakładowych oczyszczalni ścieków zawierające substancje niebezpieczne;825
19;11.0;6.0;B;Osady z zakładowych oczyszczalni ścieków inne niż wymienione w 19 11 05;826
19;11.0;7.0;N;Odpady z oczyszczania gazów odlotowych;827
19;11.0;99.0;B;Inne nie wymienione odpady;828
19;12.0;;B;Odpady z mechanicznej obróbki odpadów (np. obróbki ręcznej, sortowania, zgniatania, granulowania) nie ujęte w innych grupach;829
19;12.0;1.0;B;Papier i tektura;830
19;12.0;2.0;B;Metale żelazne;831
19;12.0;3.0;B;Metale nieżelazne;832
19;12.0;4.0;B;Tworzywa sztuczne i guma;833
19;12.0;5.0;B;Szkło;834
19;12.0;6.0;N;Drewno zawierające substancje niebezpieczne;835
19;12.0;7.0;B;Drewno inne niż wymienione w 19 12 06;836
19;12.0;8.0;B;Tekstylia;837
19;12.0;9.0;B;Minerały (np. piasek, kamienie);838
19;12.0;10.0;B;Odpady palne (paliwo alternatywne);839
19;12.0;11.0;N;Inne odpady (w tym zmieszane substancje i przedmioty) z mechanicznej obróbki odpadów zawierające substancje niebezpieczne;840
19;12.0;12.0;B;Inne odpady (w tym zmieszane substancje i przedmioty) z mechanicznej obróbki odpadów inne niż wymienione w 19 12 11;841
19;13.0;;B;Odpady z oczyszczania gleby, ziemi i wód podziemnych;842
19;13.0;1.0;N;Odpady stałe z oczyszczania gleby i ziemi zawierające substancje niebezpieczne;843
19;13.0;2.0;B;Odpady stałe z oczyszczania gleby i ziemi inne niż wymienione w 19 13 01;844
19;13.0;3.0;N;Szlamy z oczyszczania gleby i ziemi zawierające substancje niebezpieczne;845
19;13.0;4.0;B;Szlamy z oczyszczania gleby i ziemi inne niż wymienione w 19 13 03;846
19;13.0;5.0;N;Szlamy z oczyszczania wód podziemnych zawierające substancje niebezpieczne;847
19;13.0;6.0;B;Szlamy z oczyszczania wód podziemnych inne niż wymienione w 19 13 05;848
19;13.0;7.0;N;Odpady ciekłe i stężone uwodnione odpady ciekłe (np. koncentraty) z oczyszczania wód podziemnych zawierające substancje niebezpieczne;849
19;13.0;8.0;B;Odpady ciekłe i stężone uwodnione odpady ciekłe (np. koncentraty) z oczyszczania wód podziemnych inne niż wymienione w 19 13 07;850
19;80.0;;B;Odpady z unieszkodliwiania odpadów medycznych i weterynaryjnych nie ujęte w innych podgrupach;851
19;80.0;1.0;B;Odpady po autoklawowaniu odpadów medycznych i weterynaryjnych;852
20;;;B;Odpady komunalne łącznie z frakcjami gromadzonymi selektywnie;853
20;1.0;;B;Odpady komunalne segregowane i gromadzone selektywnie (z wyłączeniem 15 01);854
20;1.0;1.0;B;Papier i tektura;855
20;1.0;2.0;B;Szkło;856
20;1.0;8.0;B;Odpady kuchenne ulegające biodegradacji;857
20;1.0;10.0;B;Odzież;858
20;1.0;11.0;B;Tekstylia;859
20;1.0;13.0;N;Rozpuszczalniki;860
20;1.0;14.0;N;Kwasy;861
20;1.0;15.0;N;Alkalia;862
20;1.0;17.0;N;Odczynniki fotograficzne;863
20;1.0;19.0;N;Środki ochrony roślin I i II klast toksyczności (bardzo toksyczne i toksyczne np. herbicydy, insektycydy);864
20;1.0;21.0;N;Lampy fluorescencyjne i inne odpady zawierające rtęć;865
20;1.0;23.0;N;Urządzenia zawierające freony;866
20;1.0;25.0;B;Oleje i tłuszcze jadalne;867
20;1.0;26.0;N;Oleje i tłuszcze inne niż wymienione w 20 01 25;868
20;1.0;27.0;N;Farby, tusze, farby drukarskie, kleje, lepiszcze i żywice zawierające substancje niebezpieczne;869
20;1.0;28.0;B;Farby, tusze, farby drukarskie, kleje, lepiszcze i żywice inne niż wymienione w 20 01 27;870
20;1.0;29.0;N;Detergenty zawierające substancje niebezpieczne;871
20;1.0;30.0;B;Detergenty inne niż wymienione w 20 01 29;872
20;1.0;31.0;N;Leki cytotoksyczne i cytostatyczne;873
20;1.0;32.0;B;Leki inne niż wymienione w 20 01 31;874
20;1.0;33.0;N;Baterie i akumulatory łącznie z bateriami i akumulatorami wymienionymi w 16 06 01, 16 06 02 lub 16 06 03 oraz nie sortowane baterie i akumulatory zawierające te baterie;875
20;1.0;34.0;B;Baterie i akumulatory inne niż wymienione w 20 01 33;876
20;1.0;35.0;N;Zużyte urządzenia elektryczne i elektroniczne inne niż wymienione w 20 01 21 i 20 01 23 zawierające niebezpieczne składniki (1);877
20;1.0;36.0;B;Zużyte urządzenia elektryczne i elektroniczne inne niż wymienione w 20 01 21, 20 01 23 i 20 01 35;878
20;1.0;37.0;N;Drewno zawierające substancje niebezpieczne;879
20;1.0;38.0;B;Drewno inne niż wymienione w 20 01 37;880
20;1.0;39.0;B;Tworzywa sztuczne;881
20;1.0;40.0;B;Metale;882
20;1.0;41.0;B;Odpady zmiotek wentylacyjnych;883
20;1.0;80.0;B;Środki ochrony roślin inne niż wymienione w 20 01 19;884
20;1.0;99.0;B;Inne nie wymienione frakcje zbierane w sposób selektywny;885
20;2.0;;B;Odpady z ogrodów i parków (w tym z cmentarzy);886
20;2.0;1.0;B;Odpady ulegające biodegradacji;887
20;2.0;2.0;B;Gleba i ziemia, w tym kamienie;888
20;2.0;3.0;B;Inne odpady nie ulegające biodegradacji;889
20;3.0;;B;Inne odpady komunalne;890
20;3.0;1.0;B;Nie segregowane (zmieszane) odpady komunalne;891
20;3.0;2.0;B;Odpady z targowisk;892
20;3.0;3.0;B;Odpady z czyszczenia ulic i placów;893
20;3.0;4.0;B;Szlamy ze zbiorników bezodpływowych służących do gromadzenia nieczystości;894
20;3.0;6.0;B;Odpady ze studzienek kanalizacyjnych;895
20;3.0;7.0;B;Odpady wielkogabarytowe;896
20;3.0;99.0;B;Odpady komunalne nie wymienione w innych podgrupach;897
13;7.0;3.0;N;INNE PALIWA (WŁĄCZNIE Z MIESZANINAMI);898
13;1.0;7.0;N;OLEJ OPAŁOWY I OLEJ NAPĘDOWY;899
13;7.0;1.0;N;OJEJ OPAŁOWY I OLEJ NAPĘDOWY;900
10;8.0;10.0;N;zgary z wytopu o właściwościach palnych lub wydzielające w zetknięciu z wodą gazy palne w niebezpiecznych ilościach;901
10;10.0;8.0;B;RDZENIE I FORMY ODLEWNICZE PO PROCESIE ODLEWANIA INNE NIŻ WYMIENIONE W 10 10 07;902
10;5.0;4.0;B;PYŁ GRAFITOWY;903
13;7.0;2.0;N;BENZYNA;904
11;5.0;4.0;N;ZUZYTY TOPNIK;905
10;11.0;3.0;B;ODPADY WŁÓKNA SZKLANEGO;906
11;5.0;99.0;B;INNE NIEWYMIENIONE ODPADY;907
11;5.0;3.0;N;ODPADY Z OCZYSZCZANIA GAZÓW ODLOTOWYCH;908
55;55.0;55.0;N;Odpady Niebezpieczne (różne kod wewnętrzny);909
66;66.0;66.0;B;Odpady inne niż niebezpieczne (kod wewnętrzny);910
10;13.0;82.0;B;WYBRAKOWANE WYROBY;911
10;12.0;9.0;N;Odpady stałe z oczyszczania gazów odlotowychzawierające substancje niebezpieczne;912
10;10.0;12.0;B;Inne cząsteczki stałe niż wymienione w 10 10 11;913
10;13.0;99.0;B;Inne niewymienione odpady;914
10;4.0;1.0;N;Żużle z produkcji pierwotnej i wtórnej;915
10;4.0;2.0;N;Zgary z produkcji pierwotnej i wtórnej;916
10;4.0;3.0;N;Wapno zawierające związki arsenu(arsenian wapniowy);917
10;4.0;4.0;N;Pyły z gazów odlotowych;918
10;4.0;5.0;N;Inne cząstki i pyły;919
10;4.0;6.0;N;Odpady stałe z oczyszczania gazów odlotowych;920
10;4.0;7.0;N;Szlamy i osady pofiltracyjne z oczyszczania gazów odlotowych;921
10;4.0;9.0;N;Odpady z uzdatniania wody chłodzącej zawierające oleje;922
10;4.0;10.0;B;Odpady z uzdatniania wody chłodzącej inne niż wymienione w 10 04 09;923
10;4.0;99.0;B;Inne niewymienione odpady;924
10;5.0;1.0;B;Żużle z produkcji pierwotnej i wtórnej(z wyłączeniem 10 05 80);925
10;5.0;3.0;N;Pyły z gazów odlotowych;926
10;5.0;5.0;N;Odpady stałe z oczyszczania gazów odlotowych;927
10;5.0;6.0;N;Szlamy  i osady pofiltracyjne z oczyszczania gazów odlotowych;928
10;5.0;8.0;N;Odpady z uzdatniania wody chłodzącej zawierające oleje;929
10;5.0;9.0;B;Odpady z uzdatniania wody chłodzącej inne niż wymienione w 10 05 08;930
10;5.0;10.0;N;Zgary z wytopu o właściwościach palnych lub wydzielające w zetknięciu z wodą gazy palne w niebezpiecznych ilościach;931
10;5.0;11.0;B;Zgary inne niż wymienione w 10 05 10;932
10;5.0;80.0;B;Żużle granulowane z pieców szybowych oraz żużle z pieców obrotowych;933
10;5.0;99.0;B;Inne niewymienione odpady;934
10;6.0;1.0;B;Żużle z produkcji pierwotnej i wtórnej;935
10;6.0;2.0;B;Zgary z produkcji pierotnej i wtórnej;936
10;6.0;3.0;N;Pyły z gazów odlotowych;937
10;6.0;4.0;B;Inne czastki i pyły;938
10;6.0;6.0;N;Odpady stałe z oczyszczania gazów odlotowych;939
10;6.0;7.0;N;Szlamy i osady pofiltracyjne z oczyszczania gazów odlotowych;940
10;6.0;9.0;N;Odpady z uzdatniania wody chłodzącej zawierające oleje;941
10;6.0;10.0;B;Odpady z uzdatniania wody chłodzącej inne niż wymienione w 10 06 09;942
10;6.0;99.0;B;Inne niewymienione odpady;943
10;7.0;1.0;B;Żużle z produkcji pierwotnej i wtórnej;944
10;7.0;2.0;B;Zgary z produkcji pierwotnej i wtórnej;945
10;7.0;3.0;B;Odpady stałe z oczyszczania gazów odlotowych;946
10;7.0;4.0;B;Inne cząstki i pyły;947
10;7.0;5.0;B;Szlamy i osady pofiltracyjne z oczyszczania gazów odlotowych;948
10;7.0;7.0;N;Odpady z uzdatniania wody chłodzącej zawierające oleje;949
10;7.0;8.0;B;Odpady z uzdatniania wody chłodzącej inne niż wymienione w 10 07 07;950
10;7.0;99.0;B;Inne niewymienione odpady;951
10;8.0;4.0;B;Cząstki i pyły;952
10;8.0;8.0;N;Słone żużle z produkcji pierwotnej i wtórnej;953
10;8.0;9.0;B;Inne żużle;954
10;8.0;11.0;B;Zgary inne niż wymienione w 10 08 10;955
10;8.0;12.0;N;Odpady zawierające smołę z produkcji anod;956
10;8.0;13.0;B;Odpady zawierające węgiel z produkcji anod inne niż wymienione w 10 08 12;957
10;8.0;14.0;B;Odpadowe anody;958
10;8.0;15.0;N;Pyły z gazów odlotowych zawierające substancje niebezpieczne;959
10;8.0;16.0;B;Pyły z gazów odlotowych inne niż wymienione w 10 08 15;960
10;8.0;17.0;N;Szlamy i osady pofiltracyjne z oczyszczania gazów odlotowych zawierające substancje niebezpieczne;961
10;8.0;18.0;B;Szlamy i osady pofiltracyjne z oczyszczania gazów odlotowych inne niż wymienione w 10 08 17;962
10;8.0;19.0;N;Odpady z uzdatniania wody chłodzącej zawierające oleje;963
10;8.0;20.0;B;Odpady z uzdatniania wody chłodzącej inne niż wymienione w 10 08 19;964
10;8.0;99.0;B;Inne niewymienione odpady;965
10;9.0;3.0;B;Żużle odlewnicze;966
10;9.0;5.0;N;Rdzenie i formy odlewnicze przed procesem odlewania zawierające substancje niebezpieczne;967
10;9.0;7.0;N;Rdzenie i formy odlewnicze po procesie odlewania zawierające substancje niebezpieczne;968
10;9.0;6.0;B;Rdzenie i formy odlewnicze przed procesem odlewania inne niż wymienione w 10 09 05;969
10;9.0;8.0;B;Rdzenie i formy odlewnicze po procesie odlewania inne niż wymienione w 10 09 07;970
10;9.0;9.0;N;Pyły z gazów odlotowych zawierające substancje niebezpieczne;971
10;9.0;10.0;B;Pyły z gazów odlotowych inne niż wymienione w 10 09 09;972
10;9.0;11.0;N;Inne cząstki stałe zawierające substancje niebezpieczne;973
10;9.0;12.0;B;Inne cząstki stałe niż wymienione w 10 09 11;974
10;9.0;13.0;N;Odpadowe środki wiążące zawierające substancje niebezpieczne;975
10;9.0;14.0;B;Odpadowe środki wiążące inne niż wymienione w 10 09 13;976
10;9.0;15.0;N;Odpady środków do wykrywania pęknięć odlewów;977
10;9.0;16.0;B;Odpady środków do wykrywania pęknięć odlewów inne niż wymienione w 10 09 15;978
10;9.0;80.0;B;Wybrakowane wyroby żeliwne;979
10;9.0;99.0;B;Inne niewymienione odpady;980
10;10.0;3.0;B;Zgary i żużle odlewnicze;981
10;10.0;5.0;N;Rdzenie i formy odlewnicze przed procesem odlewania zawierające substancje niebezpieczne;982
10;10.0;6.0;B;Rdzenie i formy odlewnicze przed procesem odlewania inne niż wymienione w 10 10 05;983
10;10.0;7.0;N;Rdzenie i formy odlewnicze po procesie odlewania zawierające substancje niebezpieczne;984
10;10.0;9.0;N;Pyły z gazów odlotowych zawierające substancje niebezpieczne;985
10;10.0;11.0;N;Inne cząstki stałe zawierające substancje niebezpieczne;986
10;10.0;10.0;B;Pyły z gazów odlotowych inne niż wymienione w 10 10 09;987
10;10.0;13.0;N;Odpadowe środki wiążące zawierające substancje niebezpieczne;988
10;10.0;14.0;B;Odpadowe środki wiążące inne niż wymienione 10 10 13;989
10;10.0;15.0;N;Odpady środków do wykrywania pęknięć odlewów;990
10;10.0;16.0;B;Odpady środków do wykrywania pęknięć odlewów inne niż wymienione w 10 10 15;991
10;10.0;99.0;B;Inne niewymienione odpady;992
10;11.0;5.0;B;Cząstki i pyły;993
10;11.0;9.0;N;Odpady z przygotowania mas wsadowych do obróbki termicznej zawierające substancje niebezpieczne;994
10;11.0;10.0;B;Odpady z przygotowania mas wsadowych inne niż wymienione w 10 11 09;995
10;11.0;11.0;N;Szkło odpadowe w postaci małych cząstek i proszku szklanego zawierające metale ciężkie(np.z lamp elektronopromieniowych);996
10;11.0;12.0;B;Szkło odpadowe inne niż wymienione w 10 11 11;997
10;11.0;13.0;N;Szlamy z polerowania i szlifowania szkła zawierające substancje niebezpieczne;998
